Comment_No,Username,Time_Ago,Weeks_Ago,Comment_Text,Reply_To,Is_Creator_Reply,Category,Contains_Question,Has_Emoji,Language,Comment_Length
196,itx_azra.a,24 w,24,Cup cake recipe 🤌🥺,,No,Recipe/Ingredient Question,No,Yes,English,18
197,ameena.mariam.amy,24 w,24,"Brownie recipe
Ingredients
180g oil
350g chocolate
65g cocoa powder
6 eggs
184g maida
344g brown sugar
1/2 tdp salt
258g white sugar
1tsp vanilla essence
Method:
Heat oil a little, enough to melt the chocolate and mix till well incorporated, then add in the cocoa powder and mix well
Beat 6 eggs till it gets fluffy and pour in the cooled down chocolate mixture and beat well
Add all the dry ingredients to the wet ingredients (maida, brown sugar, white sugar, salt ) mix well till now lumps found
Lastly add in the vanilla essence
Bake for 160°C 45-50min or according to your oven temperature",,No,Recipe/Ingredient Question,No,Yes,English,593
198,alsamee__,25 w,25,Oil!?,,No,Recipe/Ingredient Question,Yes,No,English,5
199,meltedmoodz,25 w,25,Exact recipe plz?,,No,Recipe/Ingredient Question,Yes,No,English,17
200,pretty.carnation,26 w,26,oill?,,No,Recipe/Ingredient Question,Yes,No,English,5
201,jyoti_lakshay,27 w,27,egg replacement,,No,Recipe/Ingredient Question,No,No,English,15
202,ratratatov,27 w,27,The oil was kind of yummy! Hold on we were making brownies?,,No,Recipe/Ingredient Question,Yes,No,Mixed/Urdu,59
203,ann69778,27 w,27,Tin 10×12,,No,Recipe/Ingredient Question,No,Yes,English,9
204,safia86357,28 w,28,Itni zyda brownies Kam ki Bata do recipe plzzzzzz,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,49
205,beebakers2025,28 w,28,Can we replace brown sugar,,No,Recipe/Ingredient Question,No,No,English,26
206,kulsum_126,29 w,29,"Those who are saying unhealthy bhayiii tmhee puri thdi khana hai, ek peice khane se kch nai hota hai!!",,No,Criticism / Negative,No,No,Mixed/Urdu,102
207,mituvermaa,29 w,29,Hope I wi.find a,,No,General,No,No,English,16
208,samrahaliii,29 w,29,Otg oven m function ki kia setting@hogi,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,39
209,naushislost_,29 w,29,Recipe..?,,No,Recipe/Ingredient Question,Yes,No,English,9
210,glow_withme124,30 w,30,Yr esi dost hmy ku ne milti 🙂,,No,Humour / Friendly Banter,No,Yes,Mixed/Urdu,29
211,sumaiyasumi2615,30 w,30,Recipe sis,,No,Recipe/Ingredient Question,No,No,English,10
212,okaysia_0,32 w,32,Eggless recipe?,,No,Recipe/Ingredient Question,Yes,No,English,15
213,sarah_homecooks,32 w,32,😍😍,,No,Positive / Appreciation,No,Yes,English,2
214,kalabhaisakina,32 w,32,Recipe pl,,No,Recipe/Ingredient Question,No,No,English,9
215,safeenasanober,33 w,33,Recipe please,,No,Recipe/Ingredient Question,No,No,English,13
216,dreaminresin2025,33 w,33,Betar Na Ho to grind kar sakte hain kya mere pas friend nahi hai,,No,Humour / Friendly Banter,No,No,Mixed/Urdu,64
217,sana_farooq5,33 w,33,Very nice looks yummmm plz write the recipe,,No,Recipe/Ingredient Question,No,No,English,43
218,salman.qureshiiii,33 w,33,"Add WET ingredients to wet ingredients? oil isn't used in brownies a good quality butter is used and you've over mixed the batter it's a cake you've made ,crinkle top comes anyhow",,No,Recipe/Ingredient Question,Yes,No,Mixed/Urdu,179
219,tadkawithgyriya123,33 w,33,Written recipe de dea plz I love brownie mene bi bnane he,,No,Recipe/Ingredient Question,No,No,English,57
220,angel.minhal.106,33 w,33,Share recipe,,No,Recipe/Ingredient Question,No,No,English,12
221,samreenlatif2021,34 w,34,Beater from?,,No,General,Yes,No,English,12
222,kedaiitah,34 w,34,❤,,No,Positive / Appreciation,No,Yes,English,1
223,isaa_taylor26,34 w,34,Oill wth 🤦‍♀️,,No,Recipe/Ingredient Question,No,Yes,English,13
224,ycxy.555,34 w,34,Which chocolate r u using,,No,Recipe/Ingredient Question,No,No,English,25
225,javymirza,35 w,35,Grams ki jgaha cups bataya kerein,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,33
226,sara._rao_,35 w,35,Yaar sale aise dost humko kyon Nahin mile😢😂😂😮,,No,Humour / Friendly Banter,No,Yes,Mixed/Urdu,45
227,_cakefor_u,35 w,35,Eggless,,No,Recipe/Ingredient Question,No,No,English,7
228,_.iamrizzz._,35 w,35,Can u make without egg please,,No,Recipe/Ingredient Question,No,No,English,29
229,_.zainab__mustafa,35 w,35,Can you give the recipes in cups,,No,Recipe/Ingredient Question,No,No,English,32
230,cakes_areeman,35 w,35,Tin size kya liya aapne,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,23
231,skywhispers_557,35 w,35,Or uger baking oven na ho or stove py Bnai to low flame py would 35 to 40 min be enough???,,No,Recipe/Ingredient Question,Yes,No,Mixed/Urdu,90
232,__wahdii29092_,35 w,35,Wowww healthiest 😍,,No,Positive / Appreciation,No,Yes,English,18
233,rojoni_kanta,35 w,35,😂😂😂😮😂,,No,General,No,Yes,English,5
234,sidr4tull_,35 w,35,What if I don't use brown sugar,,No,Recipe/Ingredient Question,No,No,English,31
235,syeda_fatima_zahra5,36 w,36,Pan size?,,No,Recipe/Ingredient Question,Yes,No,English,9
236,757.anaya,36 w,36,AP NY oil kitna lea ha dear,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,27
237,yamna_anosh,36 w,36,Cup k hisab SE measurement btadi,,No,Recipe/Ingredient Question,No,No,English,32
238,farahsaif6,37 w,37,No baking soda baking powder,,No,General,No,No,Mixed/Urdu,28
239,mahnoorahmed813,37 w,37,Cups and spoon ke hisab se btao na quantity,,No,Recipe/Ingredient Question,No,No,English,43
240,manahilbillionair,37 w,37,Ap ny lumps chor diyaa,,No,General,No,No,Mixed/Urdu,22
241,the_unknown_qn07,37 w,37,Thora choti quantity me 🙂,,No,Recipe/Ingredient Question,No,Yes,English,25
242,attitude_girl_27123,38 w,38,Ingredients,,No,Recipe/Ingredient Question,No,No,English,11
243,rukhsar2838,38 w,38,Oil nhi daalthe,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,15
244,bossbabex23,38 w,38,😍,,No,Positive / Appreciation,No,Yes,English,1
245,mrsimran34,38 w,38,❤️,,No,Positive / Appreciation,No,Yes,English,2
246,sehrizeee,38 w,38,"Rule no 1 brownies m beater nahi chalatay, it incorporates air into the batter and makes it fluffy, which brownies are not, they are meant to be fudgy not fluffy like a cake.",,No,Criticism / Negative,No,No,Mixed/Urdu,174
247,xarukhan_,38 w,38,😍😍😍,,No,Positive / Appreciation,No,Yes,English,3
